Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX,^NDX
Date,,,,,,
1985-11-01,116.2750015,116.2750015,116.7750015,115.4800034,115.4800034,180180000
1985-11-04,116.0400009,116.0400009,117.0749969,115.8249969,116.2750015,150680000
1985-11-05,116.4400024,116.4400024,116.5650024,115.8799973,116.0400009,175360000
1985-11-06,117.3799973,117.3799973,117.6200027,116.4400024,116.4400024,187000000
1985-11-07,117.6200027,117.6200027,117.9649963,117.3799973,117.3799973,177280000
1985-11-08,119.2600021,119.2600021,119.3899994,117.5849991,117.6200027,173520000
1985-11-11,120.4000015,120.4000015,120.5400009,119.1800003,119.2600021,160780000
1985-11-12,121.8199997,121.8199997,122.0100021,120.3899994,120.3899994,216600000
1985-11-13,121.1650009,121.1650009,121.9150009,120.9000015,121.8199997,186420000
1985-11-14,121.8349991,121.8349991,121.9150009,120.8000031,121.1650009,196080000
1985-11-15,122.1750031,122.1750031,123.0999985,121.7900009,121.8349991,190540000
1985-11-18,121.9550018,121.9550018,122.2799988,121.7300034,122.1750031,164420000
1985-11-19,122.5699997,122.5699997,122.8000031,121.7350006,121.9550018,203600000
1985-11-20,122.1999969,122.1999969,122.7949982,122.1999969,122.5699997,195200000
1985-11-21,123.6100006,123.6100006,123.8050003,122.1999969,122.1999969,239800000
1985-11-22,123.9700012,123.9700012,124.3349991,123.4449997,123.6100006,208400000
1985-11-25,123.1350021,123.1350021,124.1650009,122.8150024,123.9700012,166860000
1985-11-26,123.9499969,123.9499969,124.2549973,123.0899963,123.1350021,187260000
1985-11-27,125.7699966,125.7699966,125.875,123.8799973,123.9499969,206600000
1985-11-29,126.0599976,126.0599976,126.4349976,125.5199966,125.7699966,115180000
1985-12-02,125.1849976,125.1849976,126.2799988,124.8550034,126.0599976,171520000
1985-12-03,125.2300034,125.2300034,125.4199982,124.7200012,125.1849976,169080000
1985-12-04,127.9400024,127.9400024,128.0549927,125.1699982,125.2300034,234400000
1985-12-05,128.4600067,128.4600067,129.8899994,127.8600006,128.0700073,283000000
1985-12-06,126.9550018,126.9550018,128.5399933,126.7750015,128.4600067,221600000
1985-12-09,127.4850006,127.4850006,127.6449966,126.8300018,126.9550018,209600000
1985-12-10,127.9749985,127.9749985,128.5249939,127.1549988,127.4850006,223600000
1985-12-11,129.1799927,129.1799927,129.6499939,127.9749985,127.9749985,253000000
1985-12-12,129.7649994,129.7649994,130.1000061,129.1799927,129.1799927,234600000
1985-12-13,132.125,132.125,132.1699982,129.7649994,129.7649994,263400000
1985-12-16,132.6100006,132.6100006,133.1849976,132.0599976,132.125,230600000
1985-12-17,131.5350037,131.5350037,132.7299957,131.3249969,132.5449982,242000000
1985-12-18,131.1399994,131.1399994,131.9750061,130.7149963,131.5249939,275800000
1985-12-19,131.9250031,131.9250031,132.0299988,130.9100037,131.1399994,229800000
1985-12-20,132.2599945,132.2599945,132.5800018,131.6950073,131.9250031,231600000
1985-12-23,130.7250061,130.7250061,132.2599945,130.3650055,132.2599945,198820000
1985-12-24,130.0299988,130.0299988,130.7250061,129.3049927,130.7250061,128560000
1985-12-26,130.3450012,130.3450012,130.6349945,129.8899994,130.0299988,107800000
1985-12-27,131.4850006,131.4850006,131.5899963,130.25,130.3450012,149820000
1985-12-30,131.9450073,131.9450073,132.1300049,131.2449951,131.4850006,185640000
1985-12-31,132.2949982,132.2949982,132.6600037,131.9049988,131.9450073,225400000
1986-01-02,131.2550049,131.2550049,132.4450073,131.0650024,132.2949982,151620000
1986-01-03,130.5500031,130.5500031,131.2550049,130,131.2550049,178360000
1986-01-06,130.3549957,130.3549957,130.6999969,129.8450012,130.5500031,198480000
1986-01-07,132.7899933,132.7899933,132.875,130.3300018,130.3549957,255000000
1986-01-08,131.1600037,131.1600037,133.8849945,131.1499939,132.7899933,280000000
1986-01-09,128.8000031,128.8000031,131.1600037,128.0549927,131.0050049,238800000
1986-01-10,129.5650024,129.5650024,129.9700012,128.7899933,128.8000031,197000000
1986-01-13,129.0950012,129.0950012,129.5950012,128.6300049,129.5650024,178980000
1986-01-14,129.1799927,129.1799927,129.9600067,128.9949951,129.0950012,205800000
1986-01-15,131.5350037,131.5350037,131.6549988,129.0050049,129.1799927,237400000
1986-01-16,133.0599976,133.0599976,133.125,131.5350037,131.5350037,247800000
1986-01-17,132.7700043,132.7700043,133.6000061,132.6049957,133.0599976,225600000
1986-01-20,131.6049957,131.6049957,132.7899933,131.1450043,132.7700043,178860000
1986-01-21,131.0899963,131.0899963,132.0149994,130.5950012,131.6049957,221400000
1986-01-22,129.6150055,129.6150055,131.7799988,129.4700012,131.0899963,215200000
1986-01-23,129.2700043,129.2700043,129.6150055,128.4600067,129.6150055,222200000
1986-01-24,130.1999969,130.1999969,130.5399933,129.2700043,129.2700043,236600000
1986-01-27,130.7949982,130.7949982,130.9850006,129.7949982,130.2050018,221000000
1986-01-28,131.9900055,131.9900055,132.0449982,130.6699982,130.7949982,230800000
1986-01-29,133.0599976,133.0599976,134.1300049,131.9900055,131.9900055,264200000
1986-01-30,132.1900024,132.1900024,133.1600037,132.0850067,133.0599976,218000000
1986-01-31,132.9250031,132.9250031,133.2200012,132.0299988,132.1900024,218600000
1986-02-03,134.2400055,134.2400055,134.4250031,132.9250031,132.9250031,215200000
1986-02-04,134.6000061,134.6000061,135.6900024,134.2400055,134.2400055,250600000
1986-02-05,135.7149963,135.7149963,135.7899933,134.6000061,134.6000061,210600000
1986-02-06,136.6399994,136.6399994,136.9400024,135.5650024,135.7149963,239400000
1986-02-07,137.4199982,137.4199982,137.4850006,135.7449951,136.4700012,222200000
1986-02-10,138.125,138.125,138.2449951,137.3049927,137.3999939,214800000
1986-02-11,138.2599945,138.2599945,138.6100006,137.8500061,138.125,226600000
1986-02-12,138.6649933,138.6649933,138.7649994,138.0350037,138.2599945,244400000
1986-02-13,139.1649933,139.1649933,139.2949982,138.4499969,138.6649933,257200000
1986-02-14,140.1600037,140.1600037,140.6300049,139.1649933,139.1649933,244800000
1986-02-18,140.7350006,140.7350006,140.7649994,139.9850006,140.1600037,252000000
1986-02-19,139.6399994,139.6399994,140.9199982,139.5850067,140.7350006,273800000
1986-02-20,139.9450073,139.9450073,140.0249939,138.9400024,139.6399994,249800000
1986-02-21,141.1450043,141.1450043,141.2350006,139.9450073,139.9450073,293400000
1986-02-24,140.1999969,140.1999969,141.1750031,139.9900055,141.1649933,255800000
1986-02-25,139.3999939,139.3999939,140.1999969,138.8650055,140.1999969,237800000
1986-02-26,138.875,138.875,139.6349945,138.6750031,139.3999939,248400000
1986-02-27,140.5249939,140.5249939,140.5299988,138.7350006,138.875,249400000
1986-02-28,140.4250031,140.4250031,141.8300018,140.4149933,140.8999939,261200000
1986-03-03,139.7400055,139.7400055,140.6649933,139.6000061,140.4250031,239200000
1986-03-04,140.5449982,140.5449982,141.7700043,139.6999969,139.7400055,270000000
1986-03-05,140.2449951,140.2449951,140.6150055,139.5650024,140.5449982,234800000
1986-03-06,140.8000031,140.8000031,141.3450012,140.1699982,140.2449951,240600000
1986-03-07,140.7100067,140.7100067,141.1649933,140.2400055,140.8000031,251200000
1986-03-10,142.4349976,142.4349976,142.5800018,140.7100067,140.7100067,225800000
1986-03-11,145.3450012,145.3450012,145.5,142.4349976,142.4349976,269600000
1986-03-12,146.6199951,146.6199951,147.3200073,145.3399963,145.3450012,309800000
1986-03-13,147.0099945,147.0099945,147.0500031,145.8800049,146.6199951,280200000
1986-03-14,147,147,147.4499969,146.5549927,147.0099945,304400000
1986-03-17,146.3650055,146.3650055,147,145.5700073,147,259000000
1986-03-18,147.625,147.625,147.8249969,146.1150055,146.3650055,279000000
1986-03-19,147.4750061,147.4750061,148.5700073,147.4250031,147.625,273800000
1986-03-20,147.8000031,147.8000031,148.5350037,147.2700043,147.4750061,302800000
1986-03-21,148.0050049,148.0050049,148.7850037,147.5599976,147.8000031,265800000
1986-03-24,147.0899963,147.0899963,148.1450043,146.2050018,148.0050049,219200000
1986-03-25,147.4850006,147.4850006,147.7100067,146.625,147.0899963,220000000
1986-03-26,147.2550049,147.2550049,147.5650024,146.7350006,147.4850006,254200000
1986-03-27,148.375,148.375,149.0549927,147.1649933,147.25,272800000
1986-03-31,148.8600006,148.8600006,149.2050018,147.8899994,148.375,219600000
1986-04-01,148.4499969,148.4499969,149.2250061,148.0650024,148.8600006,250600000
1986-04-02,148.9199982,148.9199982,148.9400024,147.0950012,148.4499969,239800000
1986-04-03,148.7100067,148.7100067,149.9349976,148.5500031,148.9199982,238000000
1986-04-04,147.0350037,147.0350037,148.7949982,146.9400024,148.7100067,223400000
1986-04-07,146.0549927,146.0549927,147.0800018,144.8300018,147.0350037,214800000
1986-04-08,148.9299927,148.9299927,148.9450073,146.0549927,146.0549927,235800000
1986-04-09,149.0549927,149.0549927,150.0299988,148.5449982,148.9299927,262000000
1986-04-10,151.7649994,151.7649994,151.7749939,149.0549927,149.0549927,257000000
1986-04-11,152.6649933,152.6649933,153.5399933,151.7649994,151.7649994,259400000
1986-04-14,153.9250031,153.9250031,153.9750061,152.4850006,152.6649933,236200000
1986-04-15,154.9199982,154.9199982,155.0249939,153.4349976,153.9250031,250200000
1986-04-16,158.8950043,158.8950043,158.9750061,154.9199982,154.9199982,297800000
1986-04-17,159.0549927,159.0549927,159.8600006,158.2850037,158.8950043,312000000
1986-04-18,157.6600037,157.6600037,159.1549988,157.3500061,157.375,289400000
1986-04-21,158.5249939,158.5249939,158.6300049,157.2400055,157.6600037,258200000
1986-04-22,157.8600006,157.8600006,159.4700012,157.3450012,157.3500061,290800000
1986-04-23,157.4600067,157.4600067,158.2100067,156.6300049,156.6499939,250000000
1986-04-24,159.8549957,159.8549957,160.1600037,157.4600067,157.4600067,286200000
1986-04-25,160.4600067,160.4600067,160.625,159.5950012,159.8549957,266600000
1986-04-28,159.8999939,159.8999939,160.9499969,159.1399994,160.4600067,220400000
1986-04-29,158.25,158.25,160.3049927,157.6950073,159.8999939,248600000
